Condition;Recording;Question;Reponse;Reponse_juste;Frequence mouvements du regard;Time on timer;Time on bonne reponse;Frequence mouvements du regard_9;Looked_Timer;Looked_Bonne_reponse;Time on enonce;Time on reponses;Proportion parcours linéaire;Proportion passage enonce reponse
c2;r2;q2;9;1;4.220152070165455;0.125;0.40540540540540543;4.220152070165455;1.0;2.0;0.38095238095238093;0.2857142857142857;0.09523809523809523;0.23809523809523808
c2;r2;q3;11;1;4.161581573626547;0.0;0.062015503875968984;4.161581573626547;0.0;4.5;0.6296296296296297;0.1111111111111111;0.14814814814814814;0.14814814814814814
c2;r2;q4;13;0;684.7416730521545;0.020498614958448756;0.19667590027700832;684.7416730521545;4.0;4.0;0.728;0.048;0.248;0.088
c2;r2;q5;13;0;1.5092018552450717;0.04628330995792426;0.9340813464235624;1.5092018552450717;3.0;0.5;0.8412698412698413;0.09523809523809523;0.30158730158730157;0.031746031746031744
c2;r2;q6;12;1;3.640153887505594;0.017679558011049725;0.7834254143646409;3.640153887505594;3.0;2.0;0.7142857142857143;0.10714285714285714;0.23214285714285715;0.07142857142857142
c2;r2;q7;13;0;3.9664022398506766;0.02448579823702253;0.3790401567091087;3.9664022398506766;3.0;2.0;0.7058823529411765;0.08823529411764706;0.1323529411764706;0.08823529411764706
c2;r2;q8;15;1;4.641852676133753;0.4521313766596786;0.007686932215234102;4.641852676133753;1.0;8.5;0.7053571428571429;0.05357142857142857;0.20535714285714285;0.05357142857142857
c2;r2;q9;14;1;5.04970907031401;0.0014749262536873154;0.5457227138643068;5.04970907031401;1.0;4.0;0.75;0.10714285714285714;0.2857142857142857;0.03571428571428571
c2;r2;q10;11;0;3.8815551872766;0.019517795637198618;0.30884041331802525;3.8815551872766;9.0;3.0;0.6173913043478261;0.05217391304347826;0.06956521739130435;0.1565217391304348
c2;r4;q1;13;0;0.5916146806958543;0.0;0.8666666666666667;0.5916146806958543;0.0;1.5;0.8367346938775511;0.12244897959183673;0.16326530612244897;0.08163265306122448
c2;r4;q2;9;1;2.805317917219765;0.04166666666666666;0.3738738738738739;2.805317917219765;1.0;6.0;0.3023255813953488;0.13953488372093023;0.09302325581395349;0.27906976744186046
c2;r4;q3;13;0;876.4790584110685;0.027827116637063352;0.4505624629958556;876.4790584110685;1.0;4.0;0.6867469879518072;0.07228915662650602;0.1927710843373494;0.12048192771084337
c2;r4;q4;11;0;1.706097971386955;0.033460076045627375;0.6114068441064638;1.706097971386955;1.5;2.0;0.7865168539325843;0.06741573033707865;0.2696629213483146;0.0898876404494382
c2;r4;q5;13;1;4.478986674054863;0.0;0.8112609040444092;4.478986674054863;0.5;2.0;0.8061224489795918;0.061224489795918366;0.14285714285714285;0.061224489795918366
c2;r4;q6;12;1;3.48741892209877;0.03763440860215054;0.6946236559139785;3.48741892209877;1.0;6.0;0.6666666666666666;0.10526315789473684;0.19298245614035087;0.03508771929824561
c2;r4;q7;12;0;3.719121989680677;0.03048065650644783;0.2344665885111372;3.719121989680677;2.0;3.0;0.5740740740740741;0.1111111111111111;0.07407407407407407;0.09259259259259259
c2;r4;q8;15;1;5.340561565086833;0.0;0.17128027681660898;5.340561565086833;0.0;5.5;0.7641509433962265;0.05660377358490566;0.22641509433962265;0.11320754716981132
c2;r4;q9;14;1;4.880517468061034;0.1402439024390244;0.6036585365853658;4.880517468061034;1.0;3.0;0.7380952380952381;0.07142857142857142;0.27380952380952384;0.07142857142857142
